id,type,title,description,location,severity,date,source
106,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Peshawar,Low,2025-09-16T02:49:00,https://arynews.tv/
107,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Hyderabad,Medium,2025-02-12T05:42:00,Local Traffic Police Report
108,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Rawalpindi,High,2025-02-24T00:03:00,Local Traffic Police Report
109,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Lahore,Low,2025-08-28T11:08:00,https://www.geo.tv/
110,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Multan,High,2025-02-14T12:41:00,https://www.geo.tv/
111,road_condition,Potholes on main road,Several potholes reported on the central road.,Quetta,Critical,2025-08-24T13:17:00,https://arynews.tv/
112,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sialkot,Critical,2025-03-12T03:49:00,Local Traffic Police Report
113,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Peshawar,Critical,2025-07-04T05:29:00,Local Traffic Police Report
114,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Lahore,Medium,2025-01-26T22:41:00,https://www.dawn.com/
115,road_condition,Potholes on main road,Several potholes reported on the central road.,Peshawar,Low,2025-07-20T08:00:00,https://arynews.tv/
116,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Rawalpindi,Low,2025-04-30T05:23:00,https://arynews.tv/
117,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Rawalpindi,High,2024-10-03T21:26:00,https://www.dawn.com/
118,road_condition,Potholes on main road,Several potholes reported on the central road.,Sialkot,Low,2025-01-03T13:48:00,https://www.geo.tv/
119,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Islamabad,Medium,2025-07-16T01:57:00,User Report (Chatbot)
120,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Gujranwala,Medium,2025-04-15T10:40:00,User Report (Chatbot)
121,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Quetta,High,2025-09-13T14:54:00,https://www.dawn.com/
122,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Low,2025-08-17T21:52:00,https://www.geo.tv/
123,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Faisalabad,Critical,2025-08-23T09:05:00,https://www.geo.tv/
124,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Faisalabad,Critical,2025-03-23T14:38:00,User Report (Chatbot)
125,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Islamabad,Critical,2024-12-25T20:18:00,User Report (Chatbot)
126,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Sialkot,Medium,2025-03-24T19:16:00,https://www.dawn.com/
127,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Islamabad,Critical,2025-04-26T05:03:00,https://arynews.tv/
128,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Sialkot,High,2025-01-03T20:40:00,https://www.dawn.com/
129,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Rawalpindi,Medium,2025-08-22T15:35:00,https://www.geo.tv/
130,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Karachi,Medium,2025-01-12T20:42:00,Local Traffic Police Report
131,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Lahore,Low,2024-11-14T04:40:00,Local Traffic Police Report
132,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Peshawar,Low,2025-05-08T21:45:00,Local Traffic Police Report
133,road_condition,Potholes on main road,Several potholes reported on the central road.,Gujranwala,Medium,2025-04-09T15:17:00,https://www.geo.tv/
134,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Lahore,High,2025-03-02T22:11:00,User Report (Chatbot)
135,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Islamabad,High,2024-10-06T16:50:00,Local Traffic Police Report
136,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Islamabad,High,2025-05-27T14:36:00,https://arynews.tv/
137,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Islamabad,High,2025-05-07T22:25:00,User Report (Chatbot)
138,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Quetta,High,2024-12-11T14:26:00,https://arynews.tv/
139,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Sialkot,High,2025-02-27T01:23:00,User Report (Chatbot)
140,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Lahore,Medium,2025-08-13T14:44:00,Local Traffic Police Report
141,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Multan,High,2025-03-06T11:01:00,https://www.geo.tv/
142,road_condition,Potholes on main road,Several potholes reported on the central road.,Multan,Medium,2025-06-29T21:30:00,Local Traffic Police Report
143,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Sukkur,Medium,2025-08-02T03:27:00,https://www.dawn.com/
144,road_condition,Potholes on main road,Several potholes reported on the central road.,Karachi,Medium,2025-08-20T06:04:00,Local Traffic Police Report
145,road_condition,Potholes on main road,Several potholes reported on the central road.,Peshawar,Critical,2025-04-30T05:29:00,User Report (Chatbot)
146,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Rawalpindi,Low,2024-09-03T16:08:00,https://www.geo.tv/
147,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Rawalpindi,Medium,2024-10-07T22:08:00,https://www.dawn.com/
148,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Critical,2024-10-17T20:07:00,User Report (Chatbot)
149,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Sukkur,Medium,2025-02-19T07:55:00,https://www.geo.tv/
150,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Quetta,High,2025-06-08T15:43:00,https://www.geo.tv/
151,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Peshawar,Medium,2025-07-29T03:08:00,User Report (Chatbot)
152,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Gujranwala,High,2024-09-10T00:45:00,https://arynews.tv/
153,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Quetta,High,2025-09-14T12:15:00,User Report (Chatbot)
154,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Peshawar,Critical,2025-09-10T11:54:00,Local Traffic Police Report
155,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Sukkur,Medium,2025-07-06T06:57:00,Local Traffic Police Report
156,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Lahore,Medium,2025-03-03T01:13:00,https://www.geo.tv/
157,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Multan,Critical,2025-02-07T20:39:00,User Report (Chatbot)
158,road_condition,Potholes on main road,Several potholes reported on the central road.,Peshawar,Critical,2025-02-08T09:27:00,https://www.geo.tv/
159,road_condition,Potholes on main road,Several potholes reported on the central road.,Lahore,High,2024-10-18T08:18:00,https://www.geo.tv/
160,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Hyderabad,High,2025-05-08T05:07:00,https://www.geo.tv/
161,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Peshawar,Medium,2024-09-08T15:28:00,User Report (Chatbot)
162,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Sialkot,Critical,2025-02-21T11:33:00,Local Traffic Police Report
163,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Quetta,Critical,2024-11-24T01:01:00,https://www.dawn.com/
164,road_condition,Potholes on main road,Several potholes reported on the central road.,Rawalpindi,Medium,2024-10-04T11:58:00,Local Traffic Police Report
165,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Lahore,Low,2025-06-23T20:28:00,User Report (Chatbot)
166,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Faisalabad,High,2025-04-28T06:12:00,Local Traffic Police Report
167,road_condition,Potholes on main road,Several potholes reported on the central road.,Rawalpindi,Low,2024-09-22T22:27:00,https://arynews.tv/
168,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Peshawar,High,2025-02-02T00:15:00,https://www.dawn.com/
169,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Peshawar,Low,2024-10-20T17:20:00,https://arynews.tv/
170,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Sialkot,Medium,2025-06-18T20:08:00,Local Traffic Police Report
171,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Hyderabad,Low,2025-07-27T08:21:00,https://arynews.tv/
172,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Peshawar,High,2025-06-20T12:27:00,https://arynews.tv/
173,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Islamabad,Low,2025-04-01T16:47:00,https://www.dawn.com/
174,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Sukkur,Low,2025-07-14T13:44:00,Local Traffic Police Report
175,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Karachi,Critical,2024-09-11T10:16:00,https://www.dawn.com/
176,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Lahore,Low,2025-04-03T09:37:00,Local Traffic Police Report
177,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Sukkur,Critical,2025-03-03T14:15:00,Local Traffic Police Report
178,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Karachi,High,2025-02-13T13:15:00,https://www.dawn.com/
179,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Rawalpindi,Low,2025-05-20T10:58:00,https://www.geo.tv/
180,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Faisalabad,Critical,2025-08-31T17:52:00,https://arynews.tv/
181,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Islamabad,High,2024-10-31T00:35:00,https://www.dawn.com/
182,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Sialkot,Critical,2025-08-19T07:03:00,User Report (Chatbot)
183,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Rawalpindi,Medium,2025-09-13T12:49:00,https://www.geo.tv/
184,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Sukkur,Low,2025-06-06T12:00:00,https://arynews.tv/
185,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Critical,2025-01-09T17:44:00,User Report (Chatbot)
186,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Karachi,High,2025-05-17T11:13:00,https://www.dawn.com/
187,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Lahore,High,2025-06-04T05:34:00,https://www.dawn.com/
188,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Peshawar,High,2024-12-08T17:12:00,https://arynews.tv/
189,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Hyderabad,Low,2024-11-23T19:30:00,User Report (Chatbot)
190,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Faisalabad,Medium,2025-08-08T20:30:00,User Report (Chatbot)
191,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Karachi,Medium,2025-09-01T16:20:00,https://arynews.tv/
192,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Faisalabad,Low,2024-10-25T07:44:00,Local Traffic Police Report
193,road_condition,Road construction delay,Ongoing construction causing traffic issues.,Quetta,Medium,2025-03-17T20:00:00,Local Traffic Police Report
194,road_condition,Potholes on main road,Several potholes reported on the central road.,Islamabad,Low,2025-07-14T03:39:00,Local Traffic Police Report
195,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Quetta,Medium,2025-03-02T08:10:00,https://arynews.tv/
196,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Hyderabad,Medium,2025-06-07T05:13:00,User Report (Chatbot)
197,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Multan,High,2025-08-15T23:47:00,Local Traffic Police Report
198,road_condition,Bridge under repair,Partial closure of bridge due to repair work.,Peshawar,High,2024-12-05T10:14:00,User Report (Chatbot)
199,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Lahore,Critical,2025-04-22T20:49:00,User Report (Chatbot)
200,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Sukkur,Low,2025-07-14T08:38:00,https://www.dawn.com/
201,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Quetta,High,2025-02-15T12:15:00,Local Traffic Police Report
202,road_condition,Potholes on main road,Several potholes reported on the central road.,Peshawar,Critical,2024-11-25T14:28:00,Local Traffic Police Report
203,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Faisalabad,Medium,2024-09-07T02:25:00,https://www.dawn.com/
204,road_condition,Potholes on main road,Several potholes reported on the central road.,Sialkot,Critical,2025-05-10T06:49:00,Local Traffic Police Report
205,road_condition,Damaged speed breaker,Uneven speed breaker damaging cars.,Hyderabad,Low,2024-12-27T15:56:00,https://arynews.tv/
206,road_condition,Shoulder erosion,Erosion at roadside shoulder creating hazards.,Quetta,Critical,2024-09-08T16:04:00,https://arynews.tv/
207,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Multan,Medium,2025-01-12T06:22:00,https://arynews.tv/
208,road_condition,Poor street lighting,"Street lights out in key areas, risk of accidents.",Gujranwala,Critical,2025-03-12T07:04:00,Local Traffic Police Report
209,road_condition,Cracked road surface,"Road surface developing cracks, dangerous for bikers.",Sialkot,Critical,2025-08-22T22:01:00,User Report (Chatbot)
210,road_condition,Flooded street,Rainwater accumulation causing slow traffic.,Quetta,Critical,2024-09-03T17:20:00,https://arynews.tv/
211,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Karachi,Medium,2025-02-26T08:57:00,https://www.geo.tv/
212,road_condition,Sinkhole incident,Small sinkhole reported in city street.,Islamabad,Critical,2024-12-27T08:48:00,https://www.geo.tv/
213,road_condition,Broken traffic signal,"Traffic signal not working, causing jams.",Sukkur,High,2025-08-18T20:34:00,Local Traffic Police Report
